Site,Xcoo,Ycoo,Latitude,Longitude,Habitat,Building,Urban Vegetation
1,3057918,1262144,40.05278872,-105.2931031,Mixed,2.12,10.88
2,3058049,1262782,40.05453929,-105.2926298,Mixed,2.12,11.83
3,3058775,1265001,40.06062612,-105.2900175,Mixed,19.8,1.68
4,3059866,1268821,40.07110547,-105.2860868,Mixed,5.33,0
5,3059366,1269140,40.07198448,-105.2878707,Mixed,3.94,0
6,3063806,1271574,40.07863594,-105.2719832,Short,0,0
7,3064918,1271643,40.07881744,-105.2680087,Short,0,0
8,3063821,1272276,40.08056293,-105.2719231,Short,0,0
9,3064463,1272702,40.08172781,-105.2696249,Short,0,0
10,3066364,1271828,40.07931479,-105.2628396,Short,0,0
11,3066693,1271206,40.07760488,-105.2616698,Short,0,0
12,3061719,1277934,40.0961096,-105.2793847,Mixed,0,0
13,3062363,1277705,40.09547654,-105.2770848,Mixed,0,0
14,3065860,1275591,40.08964848,-105.264605,Mixed,9.93,14.76
15,3065922,1275990,40.09074334,-105.2643796,Mixed,11.83,19.5
16,3070500,1272898,40.08222079,-105.2480482,Short,0,1.1
17,3070101,1273349,40.08346195,-105.2494696,Mixed,1.53,5.62
18,3071612,1278202,40.09677231,-105.2440195,Mixed,9.42,14.1
19,3077386,1278617,40.09786395,-105.2233755,Hayfield,0,0
20,3077317,1278035,40.09626687,-105.2236287,Hayfield,0,0
21,3075779,1275923,40.09048214,-105.2291493,Hayfield,0,0
22,3077381,1275457,40.08918933,-105.2234286,Hayfield,0,0
23,3098308,1266853,40.06536672,-105.1487549,Mixed,0.07,0
24,3098147,1266037,40.06312843,-105.1493417,Mixed,0.07,0
25,3074328,1263758,40.05709941,-105.2344657,Hayfield,0.37,1.24
26,3074982,1263758,40.05709401,-105.2321293,Hayfield,0.37,1.39
27,3072570,1257346,40.03951171,-105.240813,Mixed,15.49,8.33
28,3070105,1229743,39.96375607,-105.2498949,Mixed,4.82,19.07
29,3069777,1229810,39.96394253,-105.2510643,Mixed,5.26,22.43
30,3081756,1259897,40.04643624,-105.207975,Short,0.44,0.07
31,3080658,1259853,40.04632532,-105.2118974,Short,0.44,0.07
32,3091424,1245936,40.00801848,-105.1736256,Hayfield,0.44,26.59
33,3092209,1245937,40.00801326,-105.1708233,Hayfield,0.44,26.3
34,3078549,1243461,40.00134511,-105.2196157,Tall,6.36,20.82
35,3080265,1241925,39.99711346,-105.2135081,Tall,0.29,1.1
36,3079741,1241127,39.99492745,-105.2153875,Tall,1.83,3.29
37,3078758,1238378,39.98738956,-105.2189271,Tall,4.89,14.32
38,3077638,1236684,39.98274891,-105.2229431,Tall,6.43,7.16
39,3093787,1240763,39.99379354,-105.1652597,Hayfield,2.34,26.95
40,3093833,1240212,39.99228048,-105.165103,Hayfield,2.48,27.17
41,3080801,1237289,39.98438206,-105.2116487,Tall,3.14,0.73
42,3081036,1236415,39.98198067,-105.2108203,Tall,3.29,1.1
43,3078967,1234559,39.97690391,-105.2182246,Tall,1.02,2.41
44,3079691,1233598,39.97425945,-105.2156522,Tall,1.1,3.73
45,3080068,1233118,39.97293843,-105.2143125,Tall,0.95,3.43
46,3082655,1233974,39.97526506,-105.2050718,Tall,1.31,2.12
47,3082899,1234026,39.97540558,-105.2042006,Tall,1.24,2.41
48,3083492,1234185,39.97583661,-105.2020828,Tall,0.8,4.02
49,3081036,1233121,39.97293806,-105.2108586,Hayfield,1.17,3.87
50,3082483,1232281,39.97061904,-105.2057056,Tall,1.24,2.34
51,3081473,1231978,39.96979639,-105.2093127,Tall,0.51,3.36
52,3082703,1230293,39.96515961,-105.2049443,Mixed,0.29,0
53,3083473,1230524,39.96578668,-105.2021944,Mixed,0.8,0
54,3072738,1227408,39.95732529,-105.2405258,Tall,1.83,0.07
55,3071697,1227491,39.95756145,-105.2442385,Tall,0,0
56,3072179,1226463,39.95473556,-105.2425297,Tall,0.29,0
57,3071703,1226467,39.95475033,-105.2442276,Tall,0.22,0
58,3074464,1226978,39.95613083,-105.2343734,Tall,7.6,2.41
59,3074393,1226613,39.95512942,-105.2346306,Tall,6.28,2.41
60,3071956,1217577,39.93034358,-105.2434169,Short,0,0
61,3073111,1218263,39.93221754,-105.2392912,Short,3.07,0
62,3072979,1216674,39.92785649,-105.2397785,Short,2.12,0
63,3077453,1215445,39.9244455,-105.2238393,Short,1.83,0
64,3077986,1215826,39.92548685,-105.2219346,Short,1.31,0
65,3078193,1214038,39.92057666,-105.2212166,Short,1.02,0
66,3093289,1239999,39.99170138,-105.1670474,Mixed,3.14,32.43
